dataset,feature_nature,feature_category,feature_names,window_size,clf_name,clf_params,accuracy,f1,precision,recall
fbk,2nd-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'organizational_workload_avg_5',
       'organizational_workload_std_5', 'organizational_workload_max_5',
       'organizational_workload_min_5', 'organizational_control_avg_5',
       'organizational_control_max_5', 'organizational_control_min_5',
       'organizational_control_delta_5',
       'organizational_socialinteraction_avg_5',
       'organizational_socialinteraction_std_5',
       'organizational_socialinteraction_max_5',
       'organizational_socialinteraction_min_5'],
      dtype='object')",5,xGB,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1}",0.7074766355140187,0.7021383444107847,0.7035815055309038,0.7074766355140187
fbk,2nd-order,ambient,"Index(['ambient_humidity', 'ambient_weekday', 'ambient_temperature_avg_2',
       'ambient_temperature_std_2', 'ambient_temperature_delta_2',
       'ambient_precipitation_delta_2', 'ambient_precipitation_var_2',
       'ambient_humidity_avg_2', 'ambient_humidity_std_2',
       'ambient_humidity_min_2'],
      dtype='object')",2,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.5891625615763546,0.5684794277728978,0.5707367003282956,0.5891625615763546
fbk,2nd-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_cloudcover',
       'ambient_weekday', 'ambient_temperature_avg_2',
       'ambient_temperature_std_2', 'ambient_temperature_min_2',
       'ambient_temperature_delta_2', 'ambient_precipitation_delta_2',
       'ambient_precipitation_var_2', 'ambient_humidity_avg_2',
       'ambient_humidity_max_2', 'ambient_humidity_min_2'],
      dtype='object')",2,xGB,"{'n_estimators': 140, 'max_depth': 9, 'learning_rate': 0.01}",0.5960591133004925,0.5736747625462124,0.573940441261227,0.5960591133004925
fbk,2nd-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_precipitation',
       'ambient_cloudcover', 'ambient_weekday', 'ambient_temperature_avg_3',
       'ambient_temperature_std_3', 'ambient_temperature_max_3',
       'ambient_temperature_min_3', 'ambient_temperature_delta_3',
       'ambient_temperature_var_3', 'ambient_precipitation_avg_3',
       'ambient_precipitation_std_3', 'ambient_precipitation_max_3',
       'ambient_precipitation_min_3', 'ambient_precipitation_delta_3',
       'ambient_precipitation_var_3', 'ambient_humidity_avg_3',
       'ambient_humidity_std_3', 'ambient_humidity_max_3',
       'ambient_humidity_min_3', 'ambient_humidity_delta_3',
       'ambient_humidity_var_3', 'ambient_cloudcover_avg_3'],
      dtype='object')",3,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.5645879396984924,0.5497945432156492,0.5547949336218644,0.5645879396984924
fbk,2nd-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_precipitation',
       'ambient_cloudcover', 'ambient_weekday', 'ambient_temperature_avg_3',
       'ambient_temperature_std_3', 'ambient_temperature_max_3',
       'ambient_temperature_min_3', 'ambient_temperature_delta_3',
       'ambient_temperature_var_3', 'ambient_precipitation_std_3',
       'ambient_precipitation_min_3', 'ambient_precipitation_delta_3',
       'ambient_precipitation_var_3', 'ambient_humidity_avg_3',
       'ambient_humidity_max_3', 'ambient_humidity_min_3',
       'ambient_humidity_var_3'],
      dtype='object')",3,xGB,"{'n_estimators': 140, 'max_depth': 9, 'learning_rate': 0.01}",0.5725929648241206,0.5586882156423678,0.557547600176229,0.5725929648241206
fbk,2nd-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_cloudcover',
       'ambient_weekday', 'ambient_temperature_avg_4',
       'ambient_temperature_std_4', 'ambient_temperature_max_4',
       'ambient_temperature_min_4', 'ambient_temperature_delta_4',
       'ambient_temperature_var_4', 'ambient_precipitation_std_4',
       'ambient_precipitation_max_4', 'ambient_precipitation_min_4',
       'ambient_precipitation_delta_4', 'ambient_precipitation_var_4',
       'ambient_humidity_avg_4', 'ambient_humidity_std_4',
       'ambient_humidity_max_4', 'ambient_humidity_min_4',
       'ambient_humidity_delta_4', 'ambient_humidity_var_4',
       'ambient_cloudcover_avg_4', 'ambient_cloudcover_std_4',
       'ambient_cloudcover_max_4'],
      dtype='object')",4,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.586939800224347,0.5778275892649998,0.5782137106836971,0.586939800224347
fbk,2nd-order,ambient,"Index(['ambient_temperature', 'ambient_cloudcover',
       'ambient_temperature_max_4', 'ambient_temperature_min_4',
       'ambient_temperature_delta_4', 'ambient_precipitation_min_4',
       'ambient_precipitation_delta_4', 'ambient_precipitation_var_4',
       'ambient_humidity_avg_4', 'ambient_humidity_var_4',
       'ambient_cloudcover_avg_4', 'ambient_cloudcover_std_4'],
      dtype='object')",4,xGB,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.5962395171198119,0.591303427084466,0.5905671360908445,0.5962395171198119
fbk,2nd-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_precipitation',
       'ambient_cloudcover', 'ambient_weekday', 'ambient_temperature_avg_5',
       'ambient_temperature_std_5', 'ambient_temperature_max_5',
       'ambient_temperature_min_5', 'ambient_temperature_delta_5',
       'ambient_temperature_var_5', 'ambient_precipitation_avg_5',
       'ambient_precipitation_std_5', 'ambient_precipitation_max_5',
       'ambient_precipitation_min_5', 'ambient_precipitation_delta_5',
       'ambient_precipitation_var_5', 'ambient_humidity_avg_5',
       'ambient_humidity_std_5', 'ambient_humidity_max_5',
       'ambient_humidity_min_5', 'ambient_humidity_delta_5',
       'ambient_humidity_var_5', 'ambient_cloudcover_avg_5',
       'ambient_cloudcover_std_5'],
      dtype='object')",5,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.5631108202443281,0.5532662677116384,0.5521332384108519,0.5631108202443281
fbk,2nd-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_cloudcover',
       'ambient_weekday', 'ambient_temperature_avg_5',
       'ambient_temperature_std_5', 'ambient_temperature_max_5',
       'ambient_temperature_min_5', 'ambient_temperature_delta_5',
       'ambient_precipitation_std_5', 'ambient_precipitation_delta_5',
       'ambient_precipitation_var_5', 'ambient_humidity_avg_5',
       'ambient_humidity_std_5', 'ambient_humidity_max_5',
       'ambient_humidity_min_5', 'ambient_humidity_delta_5',
       'ambient_humidity_var_5', 'ambient_cloudcover_avg_5'],
      dtype='object')",5,xGB,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.5849803664921466,0.5791150008884838,0.5777081508662415,0.5849803664921466
fbk,2nd-order,"['individual', 'organizational']","Index(['individual_sleep', 'organizational_workload', 'organizational_control',
       'individual_stress_tolerance', 'organizational_workload_avg_2',
       'organizational_workload_max_2', 'organizational_workload_min_2',
       'organizational_workload_delta_2', 'organizational_control_avg_2',
       'organizational_control_max_2', 'organizational_control_min_2',
       'organizational_control_delta_2',
       'organizational_socialinteraction_avg_2',
       'organizational_socialinteraction_min_2',
       'organizational_socialinteraction_var_2', 'individual_sleep_std_2',
       'individual_sleep_delta_2'],
      dtype='object')",2,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7508694686991267,0.746000790817489,0.7437910526777354,0.7508694686991267
