date,stress,individual_sleep,organizational_workload,organizational_control,ambient_temperature,ambient_humidity,ambient_precipitation,ambient_cloudcover,user,organizational_socialinteraction,stress_tolerance
2013-12-02,3,2,2,5,3,1,1,2,u13,5,1
2013-12-03,2,3,4,4,3,3,1,1,u13,1,1
2013-12-04,1,5,3,3,3,3,1,1,u13,1,1
2013-12-05,3,5,4,2,3,3,1,1,u13,1,1
2013-12-06,2,5,2,3,3,4,1,1,u13,1,1
2013-12-09,3,4,4,5,2,4,1,1,u13,1,1
2013-12-10,3,3,4,4,3,2,1,1,u13,1,1
2013-12-11,2,2,2,5,3,4,1,1,u13,1,1
2013-12-12,3,4,3,4,3,4,1,1,u13,1,1
2013-12-13,3,5,3,4,3,4,1,1,u13,1,1
2013-11-12,3,4,5,4,3,2,1,3,u14,4,1
2013-11-13,3,4,3,5,3,4,1,4,u14,5,1
2013-11-14,3,4,4,5,3,4,1,5,u14,5,1
2013-11-15,3,5,4,4,3,5,5,5,u14,5,1
2013-11-18,3,4,4,3,3,5,1,5,u14,4,1
2013-11-19,3,4,4,3,3,5,1,5,u14,5,1
2013-11-20,2,3,4,2,3,5,1,5,u14,1,1
2013-11-21,3,3,4,3,3,5,1,2,u14,4,1
2013-11-22,2,4,4,4,2,5,5,5,u14,2,1
2013-11-25,3,5,4,4,3,3,1,1,u14,5,1
2013-11-26,3,2,4,2,2,1,1,1,u14,4,1
2013-11-27,3,4,4,3,2,2,1,1,u14,1,1
2013-11-28,2,4,4,1,2,3,1,1,u14,1,1
2013-11-29,3,4,4,2,3,4,1,1,u14,1,1
2013-12-02,2,2,4,1,3,1,1,2,u14,3,1
2013-12-03,2,4,4,1,3,3,1,1,u14,1,1
2013-12-04,1,4,5,1,3,3,1,1,u14,1,1
2013-12-05,1,2,5,1,3,3,1,1,u14,1,1
2013-12-06,2,1,5,1,3,4,1,1,u14,1,1
2013-12-09,3,4,4,1,2,4,1,1,u14,1,1
2013-12-10,3,3,5,2,3,2,1,1,u14,3,1
2013-12-11,2,4,4,1,3,4,1,1,u14,1,1
2013-12-12,3,2,5,3,3,4,1,1,u14,2,1
2013-12-13,2,4,5,1,3,4,1,1,u14,2,1
2013-12-16,2,4,4,2,3,4,1,1,u14,3,1
2013-12-17,2,4,4,1,3,4,1,1,u14,1,1
2013-12-18,2,4,4,1,3,4,1,1,u14,1,1
2013-12-19,2,1,4,2,3,4,1,1,u14,1,1
2013-12-20,3,4,4,2,3,5,1,5,u14,4,1
2013-11-04,2,4,1,4,3,5,2,5,u18,1,3
2013-11-06,2,3,1,2,3,5,1,5,u18,1,3
2013-11-07,3,1,3,4,3,5,1,1,u18,1,3
2013-11-08,1,3,2,1,3,5,1,5,u18,2,3
2013-11-11,3,1,3,5,2,3,1,4,u18,1,3
2013-11-12,3,3,3,4,3,2,1,3,u18,1,3
2013-11-13,3,5,3,4,3,4,1,4,u18,1,3
2013-11-14,3,4,4,3,3,4,1,5,u18,4,3
